Country,Species,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
African,,,,,,,,,,,,,,
Algeria1,Indigenous cases,1*,1*,55*,8*,0*,0*,0*,0*,0*,0*,0*,0*,0*
,Total P. falciparum,,,,,0,0,0,0,0,0,0,0,0
,Total P. vivax,,,,,0,0,0,0,0,0,0,0,0
,Total mixed cases,,,,,,0,0,0,0,0,0,0,0
,Total other cases,,,,,0,0,0,0,0,0,0,0,0
,Imported cases,396,187,828,587,260,727,420,446,"1,241","1,014","2,725","1,164","1,292"
Angola,Indigenous cases,"1,682,870","1,632,282","1,496,834","1,999,868","2,298,979","2,769,305","3,794,253","3,874,892","5,150,575","7,054,978","7,343,696","8,325,921","7,858,860"
,Total P. falciparum,,,,,,,,,,,,,
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Benin,Indigenous cases,,"422,968","705,839","1,090,602","1,309,238","1,721,626","1,610,790","1,933,912","1,975,812","2,895,878","2,516,646","2,634,063","2,474,689"
,Total P. falciparum,,"68,745",,,"1,044,235","1,268,347","1,324,576","1,696,777","1,768,450","2,895,878","2,516,646","2,634,063","2,474,689"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,0,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Botswana,Indigenous cases,"1,046",432,193,456,"1,346",284**,659**,1’847**,534*,169*,884*,703*,397**
,Total P. falciparum,"1,046",432,193,456,"1,346",278,640,"1,831",534,169,884,703,397
,Total P. vivax,,,,,,,,4,,,,,0
,Total mixed cases,,,,,,,12,3,0,0,0,0,0
,Total other cases,0,0,0,0,0,,,,,,,,
,Imported cases,,,,30,30,48,64,62,51,103,69,26,49
Burkina Faso,Indigenous cases,"804,539","428,113","3,858,046","3,769,051","5,428,655","7,015,446","9,779,411","10,557,260","10,278,970","5,877,426","10,600,340","11,791,638","11,415,559"
,Total P. falciparum,,,,,,,,,,"5,877,426","10,248,510","11,791,638","11,415,559"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Burundi,Indigenous cases,"1,763,447","1,575,237","2,166,690","4,178,338","4,726,299","5,428,710","8,793,176","8,795,952","4,966,511","9,959,533","4,720,103","6,615,714","8,117,435"
,Total P. falciparum,,,,,,,,,,,"3,963,662","5,424,395","8,117,435"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Cabo Verde,Indigenous cases,47,7*,1*,22*,26*,7*,49*,423*,2*,0*,0*,0*,0*
,Total P. falciparum,47,7,1,22,26,7,49,423,2,0,0,0,0
,Total P. vivax,,,,,,,,,,0,0,0,0
,Total mixed cases,0,,,,0,0,0,0,0,0,0,0,0
,Total other cases,0,,,,,,,,,0,0,0,0
,Imported cases,,29,35,24,20,20,28,23,18,39,10,20,26
Cameroon,Indigenous cases,,"17,874","66,656","42,581",,"1,193,281","2,476,153","2,244,788","2,257,633","2,819,803","2,890,193","3,335,174","3,327,381"
,Total P. falciparum,,,,,,"592,351","1,675,264","1,191,257","1,249,705","2,318,830","2,890,193","3,335,174","3,327,381"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,0,0,0,0,0,0,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Indigenous cases,,,"87,566","163,701","295,088","598,833","1,239,317","411,913","972,119","2,416,960","1,740,970","2,002,149","2,247,250"
,Total P. falciparum,,,,,"295,088","598,833","1,032,764","383,309","972,119","2,416,960","1,740,970","2,002,149","2,247,250"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,0,,,,,0,0,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Indigenous cases,"200,448","181,126","7,710","754,565","914,032","787,046","1,294,768","1,962,372","1,364,706","1,632,529","1,544,194","1,418,539","1,671,060"
,Total P. falciparum,,,,,,,,,,"1,480,402",,"1,418,539",0
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Comoros,Indigenous cases,"36,538","24,856","49,840","53,156","2,203","1,884","1,467","3,896","15,613",17’599**,4’546*,10’537*,20’675**
,Total P. falciparum,"33,791","21,387","43,681","45,687","2,203","1,300","1,066","2,274","15,613","17,599","4,546","10,537","20,675"
,Total P. vivax,528,334,637,72,,,,,,,,,0
,Total mixed cases,0,0,,,0,0,0,0,0,0,0,0,0
,Total other cases,880,557,0,363,0,0,0,0,0,,,,
,Imported cases,,,,,,,,,,98,0,10,6
Congo,Indigenous cases,,"37,744","120,319","43,232","66,323","51,529","171,847","127,939","116,903","117,837","91,538","189,616","364,466"
,Total P. falciparum,,"37,744","120,319","43,232","66,323","51,529","171,847","127,939","116,903","117,837","91,538","189,616","364,466"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,0,0,,0,0,0,0,0,0,0,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,Indigenous cases,"62,726","29,976","1,140,627","2,524,326","3,712,831","3,375,904","3,754,504","4,034,781","4,766,477","5,935,178","4,980,640","7,295,068","8,145,591"
,Total P. falciparum,,,,"2,506,953","3,712,831","3,375,904","3,471,024","3,274,683","4,766,477","5,935,178","4,980,640","7,295,068","7,171,584"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,0,0,0,0,0,0,0,,0,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Indigenous cases,"2,417,780","4,561,981","4,791,598","6,719,887","10,288,519","12,538,805","16,821,130","16,793,002","16,972,207","21,608,681","22,590,647","23,249,165","27,349,509"
,Total P. falciparum,"2,417,780","4,561,981","4,791,598","6,719,887","10,288,519","12,538,805","16,821,130","16,793,002","16,972,207","21,608,681","22,590,647","23,249,165","27,349,509"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,0,0,0,,,,,,,,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Equatorial Guinea,Indigenous cases,"53,813","22,466","15,169","16,405","20,417","15,142","147,714","15,725","8,962","25,904",,,"71,204"
,Total P. falciparum,"53,813","22,466","15,169","16,405","17,452",,,,,,,,
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,Indigenous cases,"35,982","34,848","21,815","21,317","50,534","28,036","24,251","54,005","46,440","93,878","74,041","43,463","65,063"
,Total P. falciparum,"9,785","10,263","12,121","12,482","23,787","14,510","20,704","21,849","16,553","75,568","66,600","37,696","56,208"
,Total P. vivax,"3,989","4,932","9,204","7,361","6,780","4,780","2,999","9,185","6,108","15,790","7,119","5,613","8,506"
,Total mixed cases,63,94,346,"1,391",166,70,543,429,268,"2,340",300,120,293
,Total other cases,57,19,0,83,35,12,5,23,26,180,22,34,56
Eswatini,Indigenous cases,268,379**,409**,728**,389**,318*,250*,440*,686*,252***,243*,505**,214**
,Total P. falciparum,87,189,192,268,389,318,250,440,686,235,233,505,214
,Total P. vivax,,,,,,,,,,,,,0
,Total mixed cases,0,0,0,0,0,0,0,0,0,,0,0,
,Total other cases,0,,,,,,,,,,,,
,Imported cases,,170,153,234,322,157,67,687,271,337,82,76,155
Ethiopia,Indigenous cases,"1,196,829","1,480,360","1,692,578","2,645,454","2,118,815","1,867,059","1,718,504","1,530,739","962,087","904,495","1,743,755",1’396’315**,1’731’097**
,Total P. falciparum,"732,776","814,547","946,595","1,687,163","1,250,110","1,188,627","1,142,235","1,059,847","859,675","738,155","1,340,869","912,075","1,323,355"
,Total P. vivax,"390,252","665,813","745,983","958,291","868,705","678,432","576,269","470,892","102,412","166,340","263,877","252,589","388,416"
,Total mixed cases,"73,801",,,,,,,,,,"30,051","14,380",
,Total other cases,0,0,0,0,0,0,0,0,0,0,"108,958",,
,Imported cases,,,,,,,,,,,,836,"1,465"
Gabon,Indigenous cases,"13,936",,"19,753","28,982","31,900","23,867","23,915","35,244","111,719","53,182","53,659","64,957","45,783"
,Total P. falciparum,"2,157",,,"26,432","26,117",,"23,915","35,244","111,719","52,811","53,659","64,957","45,783"
,Total P. vivax,720,,,,,,,,,,,,
,Total mixed cases,55,,,0,0,,0,0,0,371,0,0,0
,Total other cases,"2,015",0,0,0,"1,570",0,0,0,0,0,0,0,0
Gambia,Indigenous cases,"116,353","268,020","313,469","242,513","168,256","246,348","162,739","78,040","87,448","53,386","75,801","73,781","119,104"
,Total P. falciparum,"64,108","190,379","271,038","240,792","99,976","240,382","153,685","69,931","87,448","53,386","75,801","73,781","119,104"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Ghana,Indigenous cases,"1,071,637","1,041,260","3,755,166","1,643,642","3,415,912","5,657,096","5,428,979","7,003,155","4,931,454","6,115,267","5,447,563","5,747,585","5,239,236"
,Total P. falciparum,"926,447","593,518","3,755,166","1,629,198","3,415,912","4,319,919","4,421,788","4,266,541","4,808,163","6,075,297","5,412,537","5,719,704","5,216,479"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,0,0,0,0,0,0,"113,379","109,398","27,635","28,952","35,026","27,881","22,757"
,Total other cases,"102,937","31,238",0,0,0,0,0,0,0,"11,018",0,0,0
Guinea,Indigenous cases,"20,936","95,574","340,258","211,257","660,207","810,979","992,146","1,335,323","1,214,996","2,143,225","2,008,976","2,422,374","2,474,774"
,Total P. falciparum,"20,936","5,450","191,421","63,353","660,207","810,979","992,146","1,335,323","1,214,996","2,143,225","2,008,976","2,422,374","2,474,774"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,0,,,,,,0,0,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,Indigenous cases,"50,391","71,982","50,381","54,584","97,424","150,085","156,471","152,619","171,075","160,907",,,"185,156"
,Total P. falciparum,,,,,,"96,520","97,889","89,784","125,511","115,232",,,"185,156"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Indigenous cases,"898,531","1,002,805","1,453,471","2,375,129","2,851,555","2,041,277","3,064,796","3,607,026","2,318,090","5,019,389","4,069,277","4,270,769","4,890,691"
,Total P. falciparum,"898,531","1,002,805","1,453,471","2,335,286","2,808,931","1,499,027","2,783,846","3,215,116","1,521,566","5,019,389","3,659,170","3,828,757","4,470,791"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,0,0,0,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,Indigenous cases,"922,173","1,921,159","1,412,629","1,244,220","881,224","941,711","1,191,137","1,093,115",,"915,845",,"912,436","696,684"
,Total P. falciparum,"212,927","577,641","1,407,455","1,244,220","864,204",,"809,356",,,"915,845",,"912,436","696,684"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,0,,,0,0,0,0,0,,0,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,Indigenous cases,"202,450","224,498","402,900","433,450",470’212**,938’490**,"686,024","985,852","972,790",963’712**,1’948’739**,2’338’900**,"1,679,547"
,Total P. falciparum,,,,"2,020",,,,"2,224",,,"1,948,739",,
,Total P. vivax,,,,24,,,,5,,,,,
,Total mixed cases,,,,,,,,15,,,,,0
,Total other cases,0,0,0,0,,,0,0,0,,,,0
,Imported cases,,,,,712,"1,167",,,,"7,116","1,732",203,
Malawi,Indigenous cases,,"304,499","1,564,984","1,280,892","2,905,310","3,661,238","4,827,373","4,947,443","5,865,476","5,184,107","7,139,065","6,948,500","4,226,161"
,Total P. falciparum,,,"1,564,984","1,280,892","2,905,310","3,585,315","4,730,835","4,901,344","5,830,741","5,153,779","7,057,864","6,880,537","4,173,988"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Mali,Indigenous cases,"239,787","307,035","886,482","1,506,940","2,039,853","2,454,508","2,311,098","2,277,218","2,345,475","3,221,535","2,666,266","3,204,130","3,771,426"
,Total P. falciparum,,,,,,,,,,"3,165,483","2,666,266","3,204,130","3,771,426"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Mauritania,Indigenous cases,"1,994","2,926","1,888","1,587","15,835","22,631","29,156","20,105","30,609","14,869","12,425","18,660","41,901"
,Total P. falciparum,,,,,,,,,,,,,
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Mayotte,Indigenous cases,237***,50***,29***,11**,1*,1*,18*,9*,3*,,,,
,Total P. falciparum,138,38,21,9,1,,12,,,,,,
,Total P. vivax,3,2,2,,,,,,,,,,
,Total mixed cases,,,4,,,,,,,,,,
,Total other cases,,,,,,,,,,,,0,
,Imported cases,236,51,47,71,14,10,10,10,44,,,,
Mozambique,Indigenous cases,"1,522,577","1,756,874","1,853,276","3,282,172","7,407,175","8,222,814","9,690,873","9,892,601","10,304,472","11,734,926","11,318,685","10,095,807","12,387,459"
,Total P. falciparum,"878,009","663,132","927,841","2,998,874","7,117,648","7,718,782","8,520,376","8,921,081","9,292,928","11,734,926","11,318,685","10,095,807","12,387,459"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Namibia,Indigenous cases,556,"1,525",194,"4,775","15,692",9’162*,19’510*,54’268*,30’567*,2’376*,12’291*,12’979*,10’301**
,Total P. falciparum,556,"1,525",194,"4,775","15,692","9,162","19,510","54,268","30,567","2,340","12,291","12,979","10,301"
,Total P. vivax,,,,,,,,,,6,,,
,Total mixed cases,0,0,0,0,,,,,,,,,
,Total other cases,0,0,0,0,0,,,,,,,,
,Imported cases,,,,,,"2,888","3,980","11,874","4,021","1,064","1,342",759,"1,548"
Niger,Indigenous cases,"642,774","838,585","2,329,260","2,373,591","3,963,768","2,392,108","4,258,110","2,761,268","3,046,450","3,771,451","4,377,938","4,044,707","5,166,412"
,Total P. falciparum,"601,455","757,449","2,185,060","2,306,354","3,828,486","2,267,867","3,961,178","2,638,580","3,046,450","3,748,155","4,154,337","4,044,707","5,166,412"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,"17,123","21,370","22,399","46,068","78,102",0,0,0,0,0,,,0
,Total other cases,0,0,0,0,0,"4,133","186,989",0,0,"23,296",0,0,0
Nigeria,Indigenous cases,"551,187",,,,"8,572,322","8,068,583","13,598,282","13,087,878","14,548,024","19,806,915","18,325,240","21,325,186","23,050,405"
,Total P. falciparum,"523,513",,,,,,,"1,515,920","13,524,751","920,398","15,251,460","18,765,444","20,672,564"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Rwanda,Indigenous cases,"669,322","273,293","483,470","962,618","1,623,176","2,505,794","3,380,568","5,940,533","4,231,883","3,612,822","2,043,392","1,163,670","857,228"
,Total P. falciparum,"669,322","273,293","483,470","962,618","1,623,176","2,505,794","3,380,568","5,940,533","4,231,883","3,612,822","2,043,392","1,163,670","857,228"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,0,0,0,,,,,,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Sao Tome and Principe,Indigenous cases,"3,146","8,442","12,550","9,243","1,754",2’056**,"2,238",2’239**,2’937**,2’732**,1’933**,2’719**,3’970**
,Total P. falciparum,"2,219","6,363","10,700","9,242","1,754","2,055","2,238","2,239","2,937","2,447","1,933","2,719","3,970"
,Total P. vivax,14,4,1,1,,,,,,,,,
,Total mixed cases,0,0,0,0,0,0,0,0,0,0,,,
,Total other cases,0,6,0,0,0,,0,,,,,,
,Imported cases,,,,,,2,0,2,3,10,11,11,9
Senegal,Indigenous cases,"330,331","274,119","294,385","366,687","265,624","492,253","349,540","395,706",530’652**,354’663**,"445,313","536,850","358,033"
,Total P. falciparum,"330,331","274,119","294,385","366,687","265,624","492,253","349,540","395,706","530,652","354,663","445,313","536,850","358,033"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,0,0,0,0,0,0,0,0,0,0,0
,Total other cases,0,0,0,0,0,0,0,0,,,0,0,0
,Imported cases,,,,,,0,0,0,292,45,0,0,0
Sierra Leone,Indigenous cases,"934,028","644,018","1,537,322","1,701,958","1,374,476","1,483,376","1,775,306","1,651,236","1,733,831","2,407,505","725,006","1,953,902","1,768,419"
,Total P. falciparum,"218,473","30,670","1,537,322","1,701,958","1,374,476","1,483,376","1,775,306","1,651,236","1,733,831","2,407,505","725,006","1,953,902","1,768,419"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,0,0,0,0,0,0,0,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,Indigenous cases,"8,060","9,866","6,621","8,645","11,705","4,959","4,323",23’381*,9’562***,4’821***,4’463***,2’972***,2’043**
,Total P. falciparum,"2,181","4,206","4,565","8,645","11,563","4,344","4,323","23,381","9,540","3,096","3,173","1,598","2,043"
,Total P. vivax,,14,5,,,5,,,,,,,
,Total mixed cases,12,0,0,0,0,3,0,0,,,,,
,Total other cases,5,15,0,0,0,5,0,,,,,0,
,Imported cases,,,,,,"3,568","3,075","6,234","5,742","8,890","3,663","2,917","5,237"
South Sudan2,Indigenous cases,"900,283","112,024","225,371","262,520","71,377","24,371","7,619","1,488,005","98,843","1,903,742","661,922","2,017,227","2,527,657"
,Total P. falciparum,,"112,024","225,371","262,520","71,377","24,371","7,619","1,488,005","3,242","1,902,505","145,954","1,943,519","2,382,940"
,Total P. vivax,,,,,,,,,,,"2,205","43,197","13,907"
,Total mixed cases,,,,,,0,0,0,,0,0,0,"6,700"
,Total other cases,0,0,0,0,0,0,0,0,0,0,"3,851","30,511","3,609"
Togo,Indigenous cases,"1,019,029","506,764","909,129","965,832","1,524,339","1,610,711","1,746,334","1,756,582","2,002,877","2,406,091",,1’845’368ˆ,"2,222,943"
,Total P. falciparum,"1,018,801","506,741","909,120","965,824","1,524,322","1,610,568","1,746,101","1,756,331","2,002,712","2,402,967",,"1,845,368","2,222,943"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,0,0,0,0,0,0,0,0,0,0,,,0
,Total other cases,228,23,9,8,17,143,233,251,165,"3,124",,709,
Uganda,Indigenous cases,"1,666,582","316,241","2,662,258","1,502,362","3,631,939","7,412,747","9,735,849","11,667,831","5,759,174","13,982,362","16,329,136","14,336,387","19,185,472"
,Total P. falciparum,"1,603,335","316,241","2,662,258","1,502,362","3,631,939","7,137,662","9,385,132","11,667,831","5,759,174","13,982,362","16,329,136","14,336,387","19,185,472"
,Total P. vivax,"15,812",,,,,,,,,,,,
,Total mixed cases,"47,435",0,0,0,0,0,0,0,0,0,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
United Republic of Tanzania,Indigenous cases,"1,279,362","2,151,236","1,987,629",1’554’117**,680’442**,4’900’278**,"5,762,462","5,744,907",6’390’976**,6’480’021**,6’300’316**,4’619’074**,"3,654,584"
,Total P. falciparum,"1,279,362","2,151,236","1,987,428","1,554,117","680,442","4,900,103","5,760,684","5,741,596","6,051,844","6,479,812","6,298,259","4,618,710","3,654,393"
,Total P. vivax,,,,,,,,,,12,0,,0
,Total mixed cases,0,0,201,,,,89,"1,606",,132,"2,000",363,191
,Total other cases,0,0,0,,,,0,10,,,208,,0
,Imported cases,,,,719$,1’583$,2’550$,,,1’754$,3’286$,4’314$,4’319$,"6,244"
Mainland,Indigenous cases,"1,277,024","2,146,747","1,984,698","1,552,444","678,207","4,898,211","5,755,669","5,739,863","6,389,514","6,478,474","6,294,088","4,617,043",3’653’700**
,Total P. falciparum,"1,277,024","2,146,747","1,984,698","1,552,444","678,207","4,898,211","5,755,669","5,739,863","6,050,382","6,478,474","6,294,088","4,617,043","3,653,700"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,
,Imported cases,,,,,,,,,,,,,"2,951"
Zanzibar,Indigenous cases,"2,338","4,489","2,931",1’673*,2’235*,2’067**,"6,793","5,044",1’462*,1’547*,6’228*ˆ,2’031*,884*
,Total P. falciparum,"2,338","4,489","2,730","1,673","2,235","1,892","5,015","1,733","1,462","1,338","4,171","1,667",693
,Total P. vivax,,,,,,,,,,12,0,,0
,Total mixed cases,0,0,201,,,0,89,"1,606",0,132,"2,000",363,191
,Total other cases,0,0,0,,,,0,10,,,208,,
,Imported cases,,,,719,"1,583","2,550",,,"1,754","3,286","4,314","4,319","3,293"
Zambia,Indigenous cases,,,,,"4,077,547","4,184,661","4,851,319","5,505,639","5,039,679","5,147,350","8,121,215","6,769,142","8,126,829"
,Total P. falciparum,,,,,"4,077,547","4,184,661","4,851,319","5,505,639","5,039,679","5,147,350","8,121,215","6,769,142","8,126,829"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,,,,,,,,,,,,0
,Total other cases,0,0,0,0,0,0,0,0,0,0,,0,0
Zimbabwe,Indigenous cases,"249,379","321,901","277,736","423,702","550,696",484’614**,316’631**,471’030**,263’346**,"308,173","447,381","133,137","141,076"
,Total P. falciparum,"249,379","321,901","277,736","423,702","538,351","393,886","282,616","319,146","183,755","308,173","447,381","133,137","141,076"
,Total P. vivax,,,,,,,,,,,,,
,Total mixed cases,,0,,,,,,0,0,,,,0
,Total other cases,0,0,0,0,0,,,,,0,,0,0
,Imported cases,,,,,,180,358,768,672,,,,
Americas,,,,,,,,,,,,,,
Argentina1,Indigenous cases,54*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
,Total P. falciparum,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total P. vivax,14,0,0,0,0,0,0,0,0,0,0,0,0
,Total mixed cases,,,,,,,,,,,,,
,Total other cases,,0,0,0,0,0,0,0,0,0,0,0,0
,Imported cases,55,28,16,11,15,11,9,18,23,22,13,13,10
Belize1,Indigenous cases,150,72*,33*,20*,19*,9*,4*,7*,3*,0*,0*,0*,0*
,Total P. falciparum,,,,,,,,,1,0,0,0,0
,Total P. vivax,149,72,33,20,19,9,4,5,2,0,0,0,0
,Total mixed cases,1,,,,,,,2,,,0,0,0
,Total other cases,0,,,,,,,,,0,0,0,0
,Imported cases,,7,4,4,0,4,1,2,4,2,0,0,0
Bolivia (Plurinational State of),Indigenous cases,"13,769","7,143","7,415","7,342","7,401",6’874*,5’542*,4’572**,5’342*,9’338*,12’180**,9’944*,10’321**
,Total P. falciparum,"1,165",370,337,959,325,77,4,,,31,66,165,466
,Total P. vivax,"12,569","6,756","7,067","6,346","7,060","6,785","5,535","4,572","5,342","9,299","12,107","9,714","9,787"
,Total mixed cases,35,17,11,37,16,12,3,,,5,7,65,68
,Total other cases,0,0,0,0,0,,,,,,,,
,Imported cases,,,,,,33,11,15,12,19,7,15,9
Brazil,Indigenous cases,"334,668","267,146","242,758",169’623*ˆ,137’888*ˆ,141’229*,124’177*,189’559*,187’757*,153’294*,143’395*,139’021*,129’000*
,Total P. falciparum,"47,407","32,029","31,913","26,178","21,295","14,762","13,160","18,614","17,861","15,137","21,437","21,612","17,988"
,Total P. vivax,"283,435","231,368","203,018","141,391","117,009","122,746","110,340","169,887","168,552","136,947","119,911","115,258","108,626"
,Total mixed cases,"3,642","3,606","7,722","2,090",939,683,669,"1,032","1,333","1,189","2,040","2,135","2,346"
,Total other cases,183,143,104,,,,,,,,,,
,Imported cases,,,,"8,923","4,856","4,932","5,068","4,867","6,816","4,165","1,811","1,365","2,254"
Colombia,Indigenous cases,"117,650","64,436","60,179","51,722","40,768",55’334*,82’609*,52’805*,61’195*,80’415*,75’770**,73’246**,72’697**
,Total P. falciparum,"32,900","14,650","15,215","17,650","20,067","27,875","47,232","29,558","29,953","39,891","21,944","19,853","27,776"
,Total P. vivax,"83,255","44,701","44,283","33,345","20,129","19,002","32,635","22,132","30,063","38,392","22,272","18,442","44,216"
,Total mixed cases,"1,434",754,672,690,567,739,"2,742","1,115","1,179",837,790,478,705
,Total other cases,48,16,9,11,5,,,,,,,,
,Imported cases,,,,,,"7,785",618,"1,297","1,948","2,306",466,733,864
Costa Rica,Indigenous cases,110*,10*,7***,0*,0*,0*,4*,12*,70*,95*,90*,189***ˆ,406*
,Total P. falciparum,,,,0,0,0,,,9,8,2,171,379
,Total P. vivax,110,10,5,0,0,0,4,12,61,87,88,15,27
,Total mixed cases,,,,,,,,,,,,,0
,Total other cases,,,,0,0,0,,,,,,,
,Imported cases,4,6,1,4,5,8,9,13,38,45,34,27,36
Dominican Republic,Indigenous cases,"2,482","1,616",952,473*,459*,631*,690*,341*,433*,1’291*,826*,284*,320*
,Total P. falciparum,"2,480","1,614",950,473,459,631,690,341,433,"1,291",826,284,320
,Total P. vivax,2,2,2,,,,,,,,,,0
,Total mixed cases,,,,,,,,,,,,,0
,Total other cases,0,0,0,,,,,,,,,,
,Imported cases,,,,106,37,30,65,57,87,37,3,7,17
Ecuador,Indigenous cases,"1,888",1’219*,544*,368*,242,627**,1’191*,1’275*,1’653*,1’803*,1’934*,2’175*,1’348*
,Total P. falciparum,258,290,78,160,40,209,403,309,149,211,214,445,198
