Country,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Algeria1,2,3",Suspected cases,,"11,974","15,790","12,762","8,690","8,000","6,628","6,469","10,081","8,620","11,197","7,220","1,292"
,Presumed and confirmed,,191,887,603,266,747,432,453,"1,242","1,014","2,726","1,164","1,292"
,Confirmed,,191,887,603,266,747,432,453,"1,242","1,014","2,726","1,164","1,292"
,Microscopy examined,,"11,974","15,790","12,762","8,690","8,000","6,628","6,469","10,081","8,620","11,197","7,220","1,292"
,Microscopy positive,,191,887,603,266,747,432,453,"1,242","1,014","2,726","1,164","1,292"
,Imported cases,,187,828,587,260,727,420,446,"1,241","1,014","2,725","1,164","1,292"
Angola,Suspected cases,"4,591,529","4,469,357","4,849,418","5,273,305","6,134,471","6,839,963","7,649,902","11,050,353","10,870,446","14,341,390","13,989,836","15,624,710","16,172,933"
,Presumed and confirmed,"3,687,574","3,501,953","3,031,546","3,144,100","3,180,021","3,254,270","4,301,146","4,500,221","5,928,260","7,530,788","7,682,739","9,169,267","9,221,410"
,Confirmed,"1,682,870","1,632,282","1,496,834","1,999,868","2,298,979","2,769,305","3,794,253","3,874,892","5,150,575","7,054,978","7,343,696","8,325,921","7,858,860"
,Microscopy examined,"1,947,349","1,765,933","2,245,223","3,025,258","3,398,029","3,345,693","4,183,727","7,493,969","5,066,780","5,643,654","5,216,938","6,663,417","7,857,537"
,Microscopy positive,"1,324,264","1,147,473","1,056,563","1,462,941","1,431,313","1,396,773","2,058,128","2,199,810","2,442,500","2,557,385","2,359,788","3,424,950","3,934,900"
,RDT examined,"639,476","833,753","1,069,483","1,103,815","1,855,400","3,009,305","2,959,282","2,931,055","5,025,981","8,221,926","8,433,855","8,117,947","6,926,016"
,RDT positive,"358,606","484,809","440,271","536,927","867,666","1,372,532","1,736,125","1,675,082","2,708,075","4,497,593","4,983,908","4,900,971","3,923,960"
Benin,Suspected cases,,"1,928,016","2,431,902","2,091,263","2,930,569","2,733,611","2,184,524","2,705,456","2,880,743","3,958,782","3,572,587","3,965,763","4,059,542"
,Presumed and confirmed,"1,873,015","1,786,864","2,069,728","1,717,115","2,122,011","2,042,684","1,667,005","1,968,532","2,255,946",3’084’525*,"2,632,959",2’928’382*,"2,571,043"
,Confirmed,,"422,968","705,839","1,090,602","1,309,238","1,721,626","1,610,790","1,933,912","1,975,812",2’895’878*,"2,516,646",2’634’063*,"2,474,689"
,Microscopy examined,,"88,134","243,008","291,479","155,205","296,264","267,405","267,492","349,191","432,001","367,925","515,103","439,332"
,Microscopy positive,,"68,745",,"99,368","108,714","108,061","104,601","208,823","258,519","294,518","242,775","340,810","279,233"
,RDT examined,,"475,986","825,005","1,173,271","1,962,591","2,116,289","1,860,904","2,403,344","2,251,418","3,338,134","3,083,337","3,113,068","3,220,557"
,RDT positive,,"354,223","705,839","991,234","1,200,524","1,613,565","1,506,189","1,725,089","1,717,293","2,601,360","2,273,871","2,293,253","2,195,456"
Botswana2,Suspected cases,,,,,,"1,298","12,986","12,605","13,979","16,564","9,148",9’825**,"17,295"
,Presumed and confirmed,"12,196",1’138^,308,506,"1,485",346,725,"1,911",585,272,953,729^,446
,Confirmed,"1,046",432^,193,456,"1,346",332,723,"1,909",585,272,953,729^,446
,Microscopy examined,,,,,,,"5,178","5,223",872,707,,729,"1,003"
,Microscopy positive,"1,046",432,,,,,,,,,,729,
,RDT examined,,167,,,,"1,284","7,806","7,380","13,107","15,857","9,148","9,825","16,090"
,RDT positive,,3,193,456,"1,346",332,723,"1,909",585,272,953,729,446
,Imported cases,,,,30,30,48,64,62,51,103,69,26,49
Burkina Faso,Suspected cases,"6,037,806","5,446,870","7,852,299","7,857,296","9,272,755","9,783,385","12,006,793","14,811,872","14,931,136","18,116,942","15,357,249","17,892,801","17,324,387"
,Presumed and confirmed,"5,723,481","5,024,697","6,970,700","7,146,026","8,278,408","8,286,453","9,799,818","12,255,671","11,991,146",6’474’757*,11’567’698*,"12,465,543","11,958,988"
,Confirmed,"804,539","428,113","3,858,046","3,769,051","5,428,655","7,015,446","9,779,411","10,557,260","10,278,970",5’877’426*,10’600’340*,"11,791,638","11,415,559"
,Microscopy examined,"177,879","400,005","223,372","183,971","198,947","222,190","191,208","133,101","157,824","270,289","203,529","339,369","370,093"
,Microscopy positive,"88,540","83,857","90,089","82,875","83,259","92,589","80,077","46,411","56,989","52,582","81,017","187,199","195,754"
,RDT examined,"940,985","450,281","4,516,273","4,296,350","6,224,055","8,290,188","11,795,178","12,980,360","13,061,136","15,997,219","13,680,757","16,879,527","16,410,865"
,RDT positive,"715,999","344,256","3,767,957","3,686,176","5,345,396","6,922,857","9,699,334","10,510,849","10,221,981","5,824,844","10,519,323","11,604,439","11,219,805"
Burundi,Suspected cases,"5,590,736","4,780,117","4,270,100","7,507,441","7,831,895","8,761,333","13,022,128","13,956,707","8,734,322","16,214,258","8,571,445","12,379,963","14,378,061"
,Presumed and confirmed,"4,255,301","3,307,158","2,600,286","4,567,428","4,987,388","5,512,414","8,902,503","9,259,694","5,149,436","9,983,843","4,732,339","6,618,492","8,124,159"
,Confirmed,"1,763,447","1,575,237","2,166,690","4,178,338","4,726,299","5,428,710","8,793,176","8,795,952","4,966,511","9,959,533","4,720,103","6,615,714","8,117,435"
,Microscopy examined,"2,825,558","2,859,720","2,659,372","4,123,012","4,471,998","3,254,670","3,941,251","3,814,355","1,542,232","3,858,517","1,786,568","2,667,318","2,013,113"
,Microscopy positive,"1,599,908","1,485,332","1,484,676","2,366,134","2,718,391","1,964,862","2,520,622","2,269,831","1,148,316","1,759,011","756,441","1,191,319","971,263"
,RDT examined,"273,324","188,476","1,177,132","2,995,339","3,098,808","5,422,959","8,971,550","9,678,610","7,009,165","12,331,431","6,772,641","9,593,269","12,051,825"
,RDT positive,"163,539","89,905","682,014","1,812,204","2,007,908","3,463,848","6,272,554","6,526,121","3,818,195","8,200,522","3,963,662","5,424,395","7,146,172"
"Cabo Verde2,3",Suspected cases,,"26,508","8,715","10,621","6,894",6’620**,8’906**,16’573**,"16,623",7’867**,4’399**,4’327**,10’246**
,Presumed and confirmed,47,36,36,46,46^,27^,77^,446^,21,40‡,10,21,27
,Confirmed,47,36,36,46,46^,27^,77^,446^,21,40‡,10,21,27
,Microscopy examined,,,"8,715","10,621","6,894","3,117","8,393","3,857","16,623","5,596","1,246","4,327","10,246"
,Microscopy positive,47,,36,46,46,27,77,446,21,40,10,21,27
,RDT examined,,"26,508",,,,"6,620","8,906","16,573",,"7,867","4,399","4,279","6,196"
,RDT positive,,36,,,46,27,77,446,,40,0,0,0
,Imported cases,,29,35,24,20,20,28,23,18,39,10,20,26
Cameroon,Suspected cases,,"3,134,048","3,031,461","4,132,326","3,709,906","3,378,923","4,665,318","5,098,975","5,036,256","4,743,338","4,567,624","5,192,692","5,162,188"
,Presumed and confirmed,"1,845,691","1,899,928","1,728,723","2,285,412","1,369,518","2,381,592","2,615,750","3,607,898","3,550,183","3,011,133","2,974,819",3’420’788*,3’382’676*
,Confirmed,,"17,874","66,656","42,581",,"1,193,281","2,476,153","2,244,788","2,257,633","2,819,803","2,890,193",3’335’174*,3’327’381*
,Microscopy examined,,"1,110,308","1,182,610","1,236,306","1,086,095","1,024,306","1,373,802","627,709","658,017","1,527,436","1,304,972","1,505,989","1,361,007"
,Microscopy positive,,,,,,"592,351","810,367","390,130","428,888","1,097,615","956,647","1,075,831","963,595"
,RDT examined,,"141,686","186,784","653,189","1,254,293","1,166,306","3,151,919","3,108,156","3,085,689","2,716,410","2,840,269","3,335,377","3,544,747"
,RDT positive,,"17,874","66,656","42,581",,"600,930","1,665,786","1,854,658","1,828,745","1,722,188","1,933,546","2,259,343","2,363,786"
Central African Republic,Suspected cases,,,"518,761","546,095","625,301","1,218,246","2,095,095","1,533,258","1,367,986","3,393,641","2,730,158","3,069,218","3,352,129"
,Presumed and confirmed,"66,484","221,980","500,806","454,532","495,238","953,535","1,607,079","1,296,277","995,157",2’708’497*,"1,980,804","2,223,562","2,460,689"
,Confirmed,,,"87,566","163,701","295,088","598,833","1,239,317","411,913","972,119",2’416’960*,"1,740,970","2,002,149","2,247,250"
,Microscopy examined,,,,"63,695","55,943","139,241","189,481","112,007","163,370","265,673","237,910","246,348","276,494"
,Microscopy positive,,,,"36,943","41,436","106,524","144,924","28,855","117,267","196,413","177,742","189,114","214,285"
,RDT examined,,,"105,521","191,569","369,208","724,303","1,537,852","536,887","1,181,578","2,781,622","2,181,204","2,504,262","2,771,175"
,RDT positive,,,"87,566","126,758","253,652","492,309","1,094,393","383,058","854,852","2,220,547","1,563,228","1,813,035","2,032,965"
Chad,Suspected cases,"743,471",,"722,654",,"1,737,195","1,641,285","2,032,301","2,943,595","1,941,489","2,779,742","2,955,271","2,584,679","2,755,046"
,Presumed and confirmed,"544,243","528,454","660,575","1,272,841","1,513,772","1,490,556","1,402,215","1,962,372","1,364,706",1’910’518*,1’890’264*,"1,811,859","1,882,503"
,Confirmed,"200,448","181,126","7,710","754,565","914,032","787,046","1,294,768","1,962,372","1,364,706",1’632’529*,1’544’194*,"1,418,539","1,671,060"
,Microscopy examined,"89,749",,"69,789",,,,"1,063,293","1,584,525","190,006","211,816","250,117","284,426","264,439"
,Microscopy positive,"75,342","86,348","7,710","206,082","160,260","149,574","720,765","1,064,354","137,501","152,127","193,816","191,628","194,912"
,RDT examined,"309,927","114,122",,"621,469","1,137,455","937,775","861,561","1,359,070","1,751,483","2,260,256","1,873,598","1,788,058","2,073,184"
,RDT positive,"125,106","94,778",,"548,483","753,772","637,472","574,003","898,018","1,227,205","1,480,402","1,350,378","1,226,911","1,476,148"
Comoros2,Suspected cases,"159,976","135,248","168,043","185,779","103,545","117,762","116,692","229,445","119,592",185’045**,"175,364","168,942","233,847"
,Presumed and confirmed,"103,670","76,661","65,139","62,565","2,465","2,101","1,734","3,896","19,682",17’697^,4’546*,10’547*,20’681*
,Confirmed,"36,538","24,856","49,840","53,156","2,203","1,884","1,467","3,896","15,613",17’697^,4’546*,10’547*,20’681*
,Microscopy examined,"87,595","63,217","125,030","154,824","93,444","89,634","71,902","130,134","90,956","158,670","133,024","120,785","162,648"
,Microscopy positive,"35,199","22,278","45,507","46,130","1,987",963,559,"1,325","9,197","19,029","3,339","7,631","7,672"
,RDT examined,"5,249","20,226","27,714","21,546","9,839","27,911","44,523","99,311","24,567","46,172","42,340","48,157","71,199"
,RDT positive,"1,339","2,578","4,333","7,026",216,921,908,"2,571","6,416","20,535","1,207","2,916","13,009"
,Imported cases,,,,,,,,,,98,0,10,6
Congo,Suspected cases,,,,"209,169","290,346","300,592","466,254","322,916","385,729","594,237","146,262","593,519","823,100"
,Presumed and confirmed,"446,656","277,263","120,319","183,026","248,159","264,574","374,252","297,652","324,615","545,796","103,692",321’404*,"581,329"
,Confirmed,,"37,744","120,319","43,232","66,323","51,529","171,847","127,939","116,903","117,837","91,538",189’616*,"364,466"
,Microscopy examined,,,,"69,375","88,764","87,547","202,922","153,203","178,017","166,278","80,110","234,919","270,105"
,Microscopy positive,,"37,744","120,319","43,232","54,523","51,529","134,612","127,939","116,903","117,837","55,348","41,491","135,898"
,RDT examined,,,,,"19,746",,"60,927",,,,"53,998","197,080","319,053"
,RDT positive,,,,,"11,800",,"37,235",,,,"36,190","148,125","228,568"
Côte d'Ivoire,Suspected cases,,"2,607,856","3,423,623","6,003,033","6,418,571","5,216,344","5,560,136","7,262,684","6,706,148","8,280,575","7,992,806","9,629,227","15,533,289"
,Presumed and confirmed,"1,721,461","2,588,004","2,795,919","4,725,798","4,658,774","3,606,725","3,754,504","4,152,065","5,189,974","5,950,336","5,083,548","7,633,965",8’408’469*
,Confirmed,"62,726","29,976","1,140,627","2,524,326","3,712,831","3,375,904","3,754,504","4,034,781","4,766,477","5,935,178","4,980,640","7,295,068",8’145’591*
,Microscopy examined,,"49,828","195,546","395,914","568,562","811,426","975,507","1,221,845","1,132,659","1,447,694","1,437,608","1,572,997","1,850,863"
,Microscopy positive,"62,726","29,976","107,563","215,104","306,926","478,870","579,566","588,969","696,124","918,371","932,627","1,089,041","1,227,464"
,RDT examined,,,"1,572,785","3,405,647","4,904,066","4,174,097","4,584,629","5,923,555","5,042,040","6,152,962","4,837,781","7,197,967","7,868,431"
,RDT positive,,,"1,033,064","2,309,222","3,405,905","2,897,034","3,174,938","3,445,812","4,070,353","5,016,807","4,048,013","6,206,027","6,918,127"
Democratic Republic of the Congo,Suspected cases,"10,568,756","12,018,784","11,993,189","14,877,406","15,064,146","17,617,219","23,443,227","23,195,284","23,833,694","32,067,354","32,954,190","32,438,379","39,367,459"
,Presumed and confirmed,"9,252,959","9,442,144","9,128,398","11,368,481","10,288,519","12,538,805","16,888,006","16,888,842","18,208,440",21’608’681*,"24,959,997",26’496’523*,29’390’652*
,Confirmed,"2,417,780","4,561,981","4,791,598","6,719,887","10,288,519","12,538,805","16,821,130","16,793,002","16,972,207",21’608’681*,"22,590,647",23’249’165*,27’349’509*
,Microscopy examined,"3,678,849","4,226,533","4,329,318","4,126,129","3,533,165","2,877,585","2,810,067","1,981,621","1,926,455","2,152,433","2,067,978","2,450,106","2,385,163"
,Microscopy positive,"2,374,930","2,700,818","2,656,864","2,611,478","2,126,554","1,902,640","1,847,143","1,291,717","995,577","1,128,371","1,214,424","1,646,553","1,358,923"
,RDT examined,"54,728","2,912,088","3,327,071","6,102,683","11,530,981","14,739,634","20,566,284","21,117,823","20,671,006","26,963,687","28,054,832","26,740,915","34,941,153"
,RDT positive,"42,850","1,861,163","2,134,734","4,108,409","8,161,965","10,636,165","14,973,987","15,501,285","15,976,630","20,480,310","21,376,223","21,602,612","25,990,586"
Equatorial Guinea,Suspected cases,"83,639","40,704","45,792","59,358","57,129","68,058","318,779","91,217","43,533","94,656",,,"158,244"
,Presumed and confirmed,"78,095","37,267","20,890","28,438","20,417","15,142","147,714","15,725","10,926","43,897",,,"98,346"
,Confirmed,"53,813","22,466","15,169","16,405","20,417","15,142","147,714","15,725","8,962","25,904",,,"71,204"
,Microscopy examined,"42,585","23,004","33,245","27,039","47,322","21,831","239,938","13,127","8,395","43,417",,,"97,694"
,Microscopy positive,"39,636","20,601","13,196","11,235","17,685","8,564","125,623","6,800","4,135","14,787",,,"56,886"
,RDT examined,"16,772","2,899","6,826","20,286","9,807","46,227","78,841","78,090","33,174","33,246",,,"33,408"
,RDT positive,"14,177","1,865","1,973","5,170","2,732","6,578","22,091","8,925","4,827","11,117",,,"14,318"
Eritrea,Suspected cases,"96,792","97,479","138,982","134,183","186,358","155,782","139,798","205,836","253,687","452,673","346,565","343,054","407,463"
,Presumed and confirmed,"53,750","39,567","42,178","34,678","55,491","32,974","80,450","55,588","48,326","93,878","75,756","44,036","65,853"
,Confirmed,"35,982","34,848","21,815","21,317","50,534","28,036","24,251","54,005","46,440","93,878","74,041","43,463","65,063"
,Microscopy examined,"79,024","67,190","84,861","81,541","63,766","59,268","83,599","74,962","70,465","116,666","101,966","98,068","131,509"
,Microscopy positive,"13,894","15,308","11,557","10,890","10,993","8,332","24,251","14,519","10,325","18,117","17,936","10,114","18,147"
,RDT examined,,"25,570","33,758","39,281","117,635","91,576",,"129,291","181,336","336,007","241,982","244,413","275,147"
,RDT positive,"22,088","19,540","10,258","10,427","39,541","19,704",,"39,486","36,115","75,761","56,105","33,349","46,916"
Eswatini2,Suspected cases,,,,,,,"1,249","3,212","10,285","34,866","27,979","12,894","77,682"
,Presumed and confirmed,"1,722",797,626,962,711,475^,317^,1’127^,957^,589*,325*,581,369
,Confirmed,268,549,562,962,711,475^,317^,1’127^,957^,589*,325*,581,369
,Microscopy examined,,,,,,,"1,249",371,"1,526","15,434","8,047","8,246",162
,Microscopy positive,87,130,345,488,711,43,141,68,957,207,121,207,95
,RDT examined,,,,,,,,"2,841","8,759","19,432","19,932","4,575","77,520"
,RDT positive,181,419,217,474,,452,458,"1,594",11,382,204,374,274
,Imported cases,,170,153,234,322,157,67,687,271,337,82,76,155
Ethiopia2,Suspected cases,"5,420,110","5,487,972","5,962,646","9,243,894","7,457,765","5,987,580","6,611,801","6,471,958","5,913,799","6,708,222","7,509,602","6,716,458","7,546,500"
,Presumed and confirmed,"4,107,396","3,549,613","3,876,745","3,316,013","2,513,863","2,174,707","1,962,996","1,755,748","1,206,891","1,015,792","1,848,231","1,487,758","1,837,213"
,Confirmed,"1,196,829","1,480,360","1,692,578","2,645,454","2,118,815","1,867,059","1,718,504","1,530,739","962,087","904,495","1,743,755","1,397,151","1,732,562"
,Microscopy examined,"2,509,543","3,418,719","3,778,479","8,573,335","7,062,717","5,679,932","6,367,309","6,246,949","5,668,995","6,596,925","7,400,644","6,625,851","7,441,849"
,Microscopy positive,"1,196,829","1,480,360","1,692,578","2,645,454","2,118,815","1,867,059","1,718,504","1,530,739","962,087","904,495","1,743,755","1,397,151","1,732,562"
,Imported cases,,,,,,,,,,,,836,"1,465"
Gabon,Suspected cases,"233,770",,"238,483","256,531","256,183","285,489","202,989","212,092","1,022,022","214,286","206,908","229,360","156,958"
,Presumed and confirmed,"185,105","178,822","188,089","185,196","185,996","217,287","161,508","157,639","797,278","142,917","127,500","141,195","100,290"
,Confirmed,"13,936",,"19,753","28,982","31,900","23,867","23,915","35,244","111,719","53,182","53,659","64,957","45,783"
,Microscopy examined,"54,714",,"66,018","90,185","90,275","79,308","62,658","70,820","264,676","75,819","80,266","104,166","63,388"
,Microscopy positive,"12,816",,"18,694","26,432","27,687","20,390","22,419","28,297","88,112","31,184","33,349","44,330","27,887"
,RDT examined,"7,887",,"4,129","10,132","11,812","12,761","2,738","18,877","71,787","47,712","48,330","38,736","37,481"
,RDT positive,"1,120",,"1,059","2,550","4,213","3,477","1,496","6,947","23,607","21,998","20,310","20,627","17,896"
Gambia,Suspected cases,"492,062",,"862,442","889,494","603,424","908,082","874,690","656,212","706,868","602,947","537,205","609,029","713,242"
,Presumed and confirmed,"194,009","268,020","313,469","281,550","168,256","255,403","164,421","83,668","88,654","53,386","75,801","73,781","119,104"
,Confirmed,"116,353","268,020","313,469","242,513","168,256","246,348","162,739","78,040","87,448","53,386","75,801","73,781","119,104"
,Microscopy examined,"290,842","172,241","156,580","236,329","286,111","272,604","165,793","77,491","171,668","150,585","198,658","116,036","262,070"
,Microscopy positive,"52,245","71,588","29,325","65,666","66,253","49,649","26,397","11,343","14,510","10,982","22,226","12,642","42,480"
,RDT examined,"123,564",,"705,862","614,128","317,313","626,423","707,215","573,093","533,994","452,362","338,547","492,993","451,172"
,RDT positive,"64,108","196,432","284,144","176,847","102,003","196,699","136,342","66,697","72,938","42,404","53,575","61,139","76,624"
Ghana,Suspected cases,"5,107,626","5,121,411","12,656,535","8,507,245","10,748,502","15,946,366","15,742,112","19,069,870","15,542,218","11,977,117","10,433,887","12,071,445","10,930,585"
,Presumed and confirmed,"3,900,311","4,207,941","10,754,320","7,259,892","8,566,002","11,678,306","11,451,328","13,472,089","11,154,400","6,703,687","5,879,506","6,077,543","5,456,588"
,Confirmed,"1,071,637","1,041,260","3,755,166","1,643,642","3,415,912","5,657,096","5,428,979","7,003,155","4,931,454","6,115,267","5,447,563","5,747,585","5,239,236"
,Microscopy examined,"2,031,674","1,172,838","4,219,097","1,394,249","1,987,959","2,023,581","2,594,918","2,495,536","2,659,067","3,004,989","3,088,665","3,652,265","3,409,994"
,Microscopy positive,"1,029,384","624,756","2,971,699","721,898","970,448","934,304","1,189,012","1,089,799","1,105,348","1,160,426","1,401,009","1,327,675","1,264,229"
,RDT examined,"247,278","781,892","1,438,284","1,496,746","3,610,453","7,901,575","7,124,845","10,105,400","6,660,205","8,383,708","6,820,524","8,057,955","7,284,471"
,RDT positive,"42,253","416,504","783,467","921,744","2,445,464","4,722,792","4,239,967","5,913,356","3,826,106","4,954,841","4,046,554","4,419,910","3,975,007"
Guinea,Suspected cases,,"1,276,057",,,,"1,254,937","1,503,035","2,134,543","2,608,481","4,964,466","3,936,433","5,852,601","6,315,992"
,Presumed and confirmed,"1,117,182","1,189,016","1,261,951","775,341","1,595,828","895,016","992,146","1,335,323","1,246,598","3,424,246","2,548,635","4,161,387","4,372,223"
,Confirmed,"20,936","95,574","340,258","211,257","660,207","810,979","992,146","1,335,323","1,214,996","2,143,225","2,008,976","2,422,374","2,474,774"
,Microscopy examined,,"43,549",,,"116,767","78,377","79,233","99,083","131,715","184,697","191,421","234,269","257,178"
,Microscopy positive,"20,936","5,450","191,421","63,353","82,818","52,211","53,805","64,211","77,119","112,966","117,568","141,621","131,767"
,RDT examined,,"139,066",,,,"1,092,523","1,423,802","2,035,460","2,445,164","3,498,748","3,205,353","3,879,319","4,161,365"
,RDT positive,,"90,124","148,837","147,904","577,389","758,768","938,341","1,271,112","1,137,877","2,030,259","1,891,408","2,280,753","2,343,007"
Guinea-Bissau,Suspected cases,"195,006","300,233","237,398","238,580","330,533","413,727","398,429","498,879","469,640","497,916",,,"501,423"
,Presumed and confirmed,"140,143","174,986","129,684","132,176","102,945","150,085","156,523","152,619","171,075","160,907",,,"185,156"
,Confirmed,"50,391","71,982","50,381","54,584","97,424","150,085","156,471","152,619","171,075","160,907",,,"185,156"
,Microscopy examined,"48,799","57,698","61,048","58,909","106,882","123,810","146,708","157,970","149,423","151,262",,,"146,666"
,Microscopy positive,"30,239","21,320","23,547","17,733","35,546","45,789","53,014","53,770","45,564","45,675",,,"47,359"
,RDT examined,"56,455","139,531","97,047","102,079","218,130","289,917","251,669","340,909","320,217","341,365",,,"350,222"
,RDT positive,"20,152","50,662","26,834","36,851","61,878","104,296","103,457","98,849","125,511","115,232",,,"137,797"
Kenya,Suspected cases,"7,557,454","13,127,058","12,883,521","14,742,401","15,204,056","16,037,285","16,290,286","15,362,146","18,435,472","8,911,133","14,060,361","13,748,015","13,508,830"
,Presumed and confirmed,"6,071,583","11,120,812","9,335,951","9,790,796","9,698,529","8,219,230","8,647,072","8,462,076","10,875,734",5’270’358*,7’285’476+*‡,4’697’886+‡,5’232’307+‡
,Confirmed,"898,531","1,002,805","1,453,471","2,375,129","2,851,555","2,041,277","3,064,796","3,607,026","2,318,090",5’019’389*,4’069’277+*‡,4’270’769+‡,4’890’691+‡
,Microscopy examined,"2,384,402","3,009,051","4,836,617","6,606,885","7,444,865","7,772,329","6,167,609","5,952,353","4,282,912",,"6,591,588","7,503,911","6,154,581"
,Microscopy positive,"898,531","1,002,805","1,426,719","2,060,608","2,415,950","1,025,508","1,569,045","2,215,665","827,947","4,656,702","1,646,648","1,496,769","1,127,502"
,RDT examined,,,"164,424","719,849","912,217","2,087,003","4,540,401","4,554,743","5,594,916","514,579","4,179,731","5,816,987","7,012,633"
,RDT positive,,,"26,752","314,521","435,605","1,015,769","1,495,751","1,391,361","1,490,143","362,687","2,012,522","2,331,988","3,343,289"
